,Accession ID,Collection date,Submission date,Location,region,country,state,county
0,EPI_ISL_6590782,2021-11-13,2021-11-22,Asia / Hong Kong,Asia,Hong Kong,,
1,EPI_ISL_6640916,2021-11-11,2021-11-23,Africa / Botswana / South East / Greater Gaborone / Gaborone,Africa,Botswana,South East,Greater Gaborone
2,EPI_ISL_6640917,2021-11-11,2021-11-23,Africa / Botswana / South East / Greater Gaborone / Gaborone,Africa,Botswana,South East,Greater Gaborone
3,EPI_ISL_6640919,2021-11-11,2021-11-23,Africa / Botswana / South East / Greater Gaborone / Gaborone,Africa,Botswana,South East,Greater Gaborone
4,EPI_ISL_6647956,2021-11-14,2021-11-23,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
5,EPI_ISL_6647957,2021-11-15,2021-11-23,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
6,EPI_ISL_6647958,2021-11-16,2021-11-23,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
7,EPI_ISL_6647959,2021-11-16,2021-11-23,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
8,EPI_ISL_6647960,2021-11-15,2021-11-23,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
9,EPI_ISL_6647961,2021-11-15,2021-11-23,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
10,EPI_ISL_6647962,2021-11-16,2021-11-23,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
11,EPI_ISL_6670244,2021-11-11,2021-11-24,Africa / Botswana / South East / Greater Gaborone / Gaborone,Africa,Botswana,South East,Greater Gaborone
12,EPI_ISL_6698790,2021-11-18,2021-11-25,Asia / Hong Kong,Asia,Hong Kong,,
13,EPI_ISL_6698792,2021-11-15,2021-11-25,Africa / South Africa / Gauteng,Africa,South Africa,Gauteng,
14,EPI_ISL_6699728,2021-11-17,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
15,EPI_ISL_6699729,2021-11-17,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
16,EPI_ISL_6699730,2021-11-17,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region E,Africa,South Africa,Gauteng,City of Johannesburg Metro Region E
17,EPI_ISL_6699731,2021-11-16,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region B,Africa,South Africa,Gauteng,City of Johannesburg Metro Region B
18,EPI_ISL_6699732,2021-11-15,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
19,EPI_ISL_6699733,2021-11-15,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region C,Africa,South Africa,Gauteng,City of Johannesburg Metro Region C
20,EPI_ISL_6699734,2021-11-14,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
21,EPI_ISL_6699735,2021-11-15,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
22,EPI_ISL_6699736,2021-11-16,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region A,Africa,South Africa,Gauteng,City of Johannesburg Metro Region A
23,EPI_ISL_6699737,2021-11-16,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region C,Africa,South Africa,Gauteng,City of Johannesburg Metro Region C
24,EPI_ISL_6699738,2021-11-17,2021-11-25,Africa / South Africa / Gauteng / City of Johannesburg Metro Region F,Africa,South Africa,Gauteng,City of Johannesburg Metro Region F
